model,accuracy,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,macro_precision,macro_recall,macro_f1
Logistic Regression,0.846084931015947,0.8257168458781362,0.7968006917423259,0.811001100110011,0.8596595998805614,0.8809669522643819,0.8701828623243162,0.8426882228793489,0.8388838220033539,0.8405919812171636
Linear SVM,0.8441139580720302,0.8263229308005428,0.7898832684824902,0.8076923076923077,0.8557863501483679,0.8824969400244798,0.8689364266345285,0.8410546404744553,0.836190104253485,0.8383143671634181
RBF SVM,0.8435764199964164,0.8278688524590164,0.7859922178988327,0.8063872255489022,0.8537666174298375,0.8843329253365974,0.8687810010521569,0.840817734944427,0.835162571617715,0.8375841133005295
Logistic Regression (NumPy),0.842501343845189,0.8304147465437788,0.779074794638997,0.8039259424492528,0.8501905599530929,0.8873929008567931,0.8683934720766582,0.8403026532484359,0.8332338477478951,0.8361597072629554
Decision Tree,0.8177745923669594,0.7824760244115083,0.7760484219628189,0.7792489689602778,0.8424094919379373,0.8473072215422277,0.8448512585812357,0.8124427581747229,0.8116778217525233,0.8120501137707568
